"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 11:52:50 EEST 2022","Tue May 31 11:52:59 EEST 2022","8524","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify edit form Accommodation witout saving ","Verify edit form Accommodation witout saving ",""
"passed","Mon May 30 12:48:13 EEST 2022","Mon May 30 12:48:27 EEST 2022","14015","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee Pet tab and check label","Go to Assignee Pet tab and check label",""
"passed","Mon May 30 12:46:22 EEST 2022","Mon May 30 12:46:35 EEST 2022","12928","","Client Corporate structure page test","","Client Corporate structure page test","Verify add Partner form ","Verify add Partner form ",""
"passed","Tue May 31 14:25:27 EEST 2022","Tue May 31 14:25:40 EEST 2022","12817","","Language Training Service, test","","Language Training Service, test","Verify remove service partner","Verify remove service partner",""
"passed","Mon May 30 12:44:26 EEST 2022","Mon May 30 12:44:40 EEST 2022","13871","","Asignee Overview page test","","Asignee Overview page test","Assignee marialStatus input","Assignee marialStatus input",""
"passed","Tue May 31 14:25:20 EEST 2022","Tue May 31 14:25:27 EEST 2022","7324","","Language Training Service, test","","Language Training Service, test","Verify Initiate service partner","Verify Initiate service partner",""
"passed","Mon May 30 12:45:34 EEST 2022","Mon May 30 12:45:49 EEST 2022","14366","","Asignee Overview page test","","Asignee Overview page test","Assignee subsidiary input","Assignee subsidiary input",""
"passed","Tue May 31 14:25:02 EEST 2022","Tue May 31 14:25:08 EEST 2022","6022","","Language Training Service, test","","Language Training Service, test","Verify language training edit form witout saving ","Verify language training edit form witout saving ",""
"passed","Mon May 30 12:46:35 EEST 2022","Mon May 30 12:46:59 EEST 2022","24187","","Client Corporate structure page test","","Client Corporate structure page test","Verify Edit Partner form ","Verify Edit Partner form ",""
"passed","Mon May 30 12:49:13 EEST 2022","Mon May 30 12:49:24 EEST 2022","10650","","Client Corporate structure page test","","Client Corporate structure page test","Verify add document form","Verify add document form",""
"passed","Mon May 30 12:43:56 EEST 2022","Mon May 30 12:44:10 EEST 2022","14467","","Asignee Overview page test","","Asignee Overview page test","Assignee nationality input","Assignee nationality input",""
"passed","Tue May 31 11:45:20 EEST 2022","Tue May 31 11:45:39 EEST 2022","19091","","Temp Accommodation(Destination) Service, Need Analysis Section test","","Temp Accommodation(Destination) Service, Need Analysis Section test","Verify Edit Temp accommodation (Destination) Needs analysis form","Verify Edit Temp accommodation (Destination) Needs analysis form",""
"passed","Mon May 30 12:46:02 EEST 2022","Mon May 30 12:46:05 EEST 2022","3244","","Asignee Overview page test","","Asignee Overview page test","Assignee language input","Assignee language input",""
"passed","Tue May 31 14:25:40 EEST 2022","Tue May 31 14:26:07 EEST 2022","27180","","Language Training Service, test","","Language Training Service, test","Verify service documents","Verify service documents",""
"passed","Mon May 30 12:42:49 EEST 2022","Mon May 30 12:43:18 EEST 2022","29604","","Asignee Overview page test","","Asignee Overview page test","Assignee name input","Assignee name input",""
"passed","Mon May 30 12:48:27 EEST 2022","Mon May 30 12:48:38 EEST 2022","10840","","Client Corporate structure page test","","Client Corporate structure page test","Verify pet form ","Verify pet form ",""
"passed","Tue May 31 11:56:08 EEST 2022","Tue May 31 11:56:36 EEST 2022","27393","","Travel booking Service, documents and finance test","","Travel booking Service, documents and finance test","Verify service documents","Verify service documents",""
"skipped","Mon May 30 12:48:57 EEST 2022","Mon May 30 12:48:57 EEST 2022","0","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee Pet tab and check label","Go to Assignee Pet tab and check label",""
"skipped","Mon May 30 11:44:17 EEST 2022","Mon May 30 11:44:17 EEST 2022","0","","Asignee Overview page test","","Asignee Overview page test","Assignee language input","Assignee language input",""
"passed","Tue May 31 14:25:08 EEST 2022","Tue May 31 14:25:20 EEST 2022","12385","","Language Training Service, test","","Language Training Service, test","Verify language training edit form with saving ","Verify language training edit form with saving ",""
"passed","Mon May 30 12:44:10 EEST 2022","Mon May 30 12:44:26 EEST 2022","15696","","Asignee Overview page test","","Asignee Overview page test","Assignee dateOfBirth input","Assignee dateOfBirth input",""
"passed","Tue May 31 11:55:35 EEST 2022","Tue May 31 11:55:48 EEST 2022","12981","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify Lease extensions remove and no require fields msg error ","Verify Lease extensions remove and no require fields msg error ",""
"passed","Tue May 31 11:44:50 EEST 2022","Tue May 31 11:45:08 EEST 2022","17846","","Temp Accommodation(Destination) Service, Need Analysis Section test","","Temp Accommodation(Destination) Service, Need Analysis Section test","Go to Services / Temp accommodation (Destination) tab and check label","Go to Services / Temp accommodation (Destination) tab and check label",""
"passed","Tue May 31 11:53:34 EEST 2022","Tue May 31 11:54:09 EEST 2022","34864","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify service PurchaseOrder","Verify service PurchaseOrder",""
"broken","Tue May 31 14:26:46 EEST 2022","Tue May 31 14:27:01 EEST 2022","15010","","Language Training Service, test","","Language Training Service, test","Verify service Recurring Purchase Orders","Verify service Recurring Purchase Orders",""
"passed","Mon May 30 12:45:07 EEST 2022","Mon May 30 12:45:21 EEST 2022","13593","","Asignee Overview page test","","Asignee Overview page test","Assignee homePhone input","Assignee homePhone input",""
"passed","Mon May 30 12:43:18 EEST 2022","Mon May 30 12:43:42 EEST 2022","23848","","Asignee Overview page test","","Asignee Overview page test","Assignee gender input","Assignee gender input",""
"passed","Mon May 30 12:46:59 EEST 2022","Mon May 30 12:47:11 EEST 2022","12247","","Client Corporate structure page test","","Client Corporate structure page test","Verify Other person form ","Verify Other person form ",""
"passed","Tue May 31 11:45:08 EEST 2022","Tue May 31 11:45:20 EEST 2022","11981","","Temp Accommodation(Destination) Service, Need Analysis Section test","","Temp Accommodation(Destination) Service, Need Analysis Section test","Verify Temp accommodation (Destination) Needs analysis form","Verify Temp accommodation (Destination) Needs analysis form",""
"broken","Tue May 31 14:26:31 EEST 2022","Tue May 31 14:26:46 EEST 2022","15001","","Language Training Service, test","","Language Training Service, test","Verify service Sales Order","Verify service Sales Order",""
"skipped","Mon May 30 12:48:57 EEST 2022","Mon May 30 12:48:57 EEST 2022","0","","Client Corporate structure page test","","Client Corporate structure page test","Verify address form ","Verify address form ",""
"passed","Tue May 31 11:51:29 EEST 2022","Tue May 31 11:52:15 EEST 2022","45291","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify Temp accommodation (Origin) Initiation details form","Verify Temp accommodation (Origin) Initiation details form",""
"passed","Tue May 31 14:24:05 EEST 2022","Tue May 31 14:24:26 EEST 2022","21344","","Language Training Service, test","","Language Training Service, test","Go to Services / Language training tab and check label","Go to Services / Language training tab and check label",""
"passed","Mon May 30 12:49:50 EEST 2022","Mon May 30 12:49:52 EEST 2022","2399","","Client Corporate structure page test","","Client Corporate structure page test","Verify unsupported file error","Verify unsupported file error",""
"passed","Tue May 31 11:55:08 EEST 2022","Tue May 31 11:55:35 EEST 2022","26655","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify Lease extensions","Verify Lease extensions",""
"passed","Mon May 30 12:45:49 EEST 2022","Mon May 30 12:46:02 EEST 2022","13583","","Asignee Overview page test","","Asignee Overview page test","Assignee notes input","Assignee notes input",""
"passed","Tue May 31 11:52:35 EEST 2022","Tue May 31 11:52:50 EEST 2022","15437","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify Accommodation form","Verify Accommodation form",""
"passed","Mon May 30 12:48:38 EEST 2022","Mon May 30 12:48:55 EEST 2022","16813","","Client Corporate structure page test","","Client Corporate structure page test","Verify pet Edit form ","Verify pet Edit form ",""
"broken","Tue May 31 14:26:07 EEST 2022","Tue May 31 14:26:31 EEST 2022","23854","","Language Training Service, test","","Language Training Service, test","Verify service PurchaseOrder","Verify service PurchaseOrder",""
"passed","Tue May 31 11:51:12 EEST 2022","Tue May 31 11:51:29 EEST 2022","17141","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Go to Services / Temp accommodation (Origin) tab and check label","Go to Services / Temp accommodation (Origin) tab and check label",""
"passed","Mon May 30 12:49:00 EEST 2022","Mon May 30 12:49:13 EEST 2022","13199","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee documents tab and check label","Go to Assignee documents tab and check label",""
"passed","Mon May 30 12:47:11 EEST 2022","Mon May 30 12:47:36 EEST 2022","24219","","Client Corporate structure page test","","Client Corporate structure page test","Verify Other person Edit","Verify Other person Edit",""
"passed","Tue May 31 14:24:26 EEST 2022","Tue May 31 14:25:02 EEST 2022","35199","","Language Training Service, test","","Language Training Service, test","Verify language training form","Verify language training form",""
"passed","Mon May 30 12:46:08 EEST 2022","Mon May 30 12:46:22 EEST 2022","13812","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee Family tab and check label","Go to Assignee Family tab and check label",""
"passed","Mon May 30 12:44:40 EEST 2022","Mon May 30 12:44:53 EEST 2022","13585","","Asignee Overview page test","","Asignee Overview page test","Assignee email input","Assignee email input",""
"passed","Tue May 31 11:56:36 EEST 2022","Tue May 31 11:57:10 EEST 2022","34885","","Travel booking Service, documents and finance test","","Travel booking Service, documents and finance test","Verify service PurchaseOrder","Verify service PurchaseOrder",""
"skipped","Mon May 30 12:48:57 EEST 2022","Mon May 30 12:48:57 EEST 2022","0","","Client Corporate structure page test","","Client Corporate structure page test","Verify pet Edit form ","Verify pet Edit form ",""
"passed","Mon May 30 12:47:47 EEST 2022","Mon May 30 12:48:11 EEST 2022","23252","","Client Corporate structure page test","","Client Corporate structure page test","Verify child person Edit","Verify child person Edit",""
"passed","Tue May 31 11:52:59 EEST 2022","Tue May 31 11:53:08 EEST 2022","8581","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify edit form Accommodation with saving ","Verify edit form Accommodation with saving ",""
"passed","Tue May 31 11:45:59 EEST 2022","Tue May 31 11:46:11 EEST 2022","11984","","Temp Accommodation(Origin) Service, Need Analysis Section test","","Temp Accommodation(Origin) Service, Need Analysis Section test","Verify Temp accommodation (Origin) Needs analysis form","Verify Temp accommodation (Origin) Needs analysis form",""
"skipped","Tue May 31 11:58:12 EEST 2022","Tue May 31 11:58:12 EEST 2022","0","","Travel booking Service, documents and finance test","","Travel booking Service, documents and finance test","Go to Services / Travel booking tab and check label","Go to Services / Travel booking tab and check label",""
"passed","Tue May 31 11:57:10 EEST 2022","Tue May 31 11:57:45 EEST 2022","34277","","Travel booking Service, documents and finance test","","Travel booking Service, documents and finance test","Verify service Sales Order","Verify service Sales Order",""
"passed","Mon May 30 12:43:42 EEST 2022","Mon May 30 12:43:56 EEST 2022","13608","","Asignee Overview page test","","Asignee Overview page test","Assignee job Title input","Assignee job Title input",""
"passed","Tue May 31 11:46:11 EEST 2022","Tue May 31 11:46:32 EEST 2022","21146","","Temp Accommodation(Origin) Service, Need Analysis Section test","","Temp Accommodation(Origin) Service, Need Analysis Section test","Verify Edit Temp accommodation (Origin) Needs analysis form","Verify Edit Temp accommodation (Origin) Needs analysis form",""
"passed","Mon May 30 12:44:53 EEST 2022","Mon May 30 12:45:07 EEST 2022","13662","","Asignee Overview page test","","Asignee Overview page test","Assignee mobilePhone input","Assignee mobilePhone input",""
"passed","Mon May 30 12:49:24 EEST 2022","Mon May 30 12:49:43 EEST 2022","18791","","Client Corporate structure page test","","Client Corporate structure page test","Verify edit form","Verify edit form",""
